mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0723001480102539,0.0028642441989537447,0.031227922439575194,0.0028368830989170804,10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",-0.08565376685402915,-0.035808633937252754,-0.08609694341762886,-0.13571851416808434,-0.16826095595593382,-0.10230776286658579,0.04566920708741155,16
0.04890284538269043,0.002819689568868383,0.01063675880432129,0.0014669079488988067,10,auto,sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.08552173810157737,-0.03776120476275291,-0.08581862421383746,-0.13729319414710028,-0.16892453266800755,-0.10306385877865512,0.04556058932781816,17
0.0699554443359375,0.007554016913536111,0.008120107650756835,0.0015357057848168318,10,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",-0.10023135752985302,0.06647746286769596,-0.03978295634892026,-0.07494637436492058,-0.09012956376655379,-0.047722557828510336,0.060665222960410776,10
0.06901516914367675,0.003942467542848543,0.0341191291809082,0.002228235973805332,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",-0.09366133182720571,-0.021247571046204783,-0.08294379359848825,-0.13981845537835969,-0.16844023787666473,-0.10122227794538463,0.05058684352594523,15
0.06933183670043945,0.003617571143343367,0.014754247665405274,0.0012990792947281972,10,scale,sigmoid,"{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",-0.08650838141506645,-0.03990516053383253,-0.08594920057057043,-0.14071994750546768,-0.17018714021433157,-0.10465396604785374,0.04575344848982037,22
0.06452670097351074,0.00474752502588681,0.007721090316772461,0.0009242221427156291,10,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",-0.10023135752985302,0.06647746286769596,-0.03978295634892026,-0.07494637436492058,-0.09012956376655379,-0.047722557828510336,0.060665222960410776,10
0.0710176944732666,0.005666675669656047,0.032405948638916014,0.0036902563613885704,100,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",-0.08175623657690423,-0.018715468906131294,-0.08062285018428694,-0.13139838899306944,-0.15944739545643505,-0.09438806802336538,0.048327769634715384,14
0.046127843856811526,0.005581493375290207,0.009827470779418946,0.001166604961005353,100,auto,sigmoid,"{'C': 100, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.08552173810157737,-0.03776120476275291,-0.08581862421383746,-0.13729319414710028,-0.16892453266800755,-0.10306385877865512,0.04556058932781816,17
0.1702127456665039,0.025720829435755262,0.009622907638549805,0.0015694059727208599,100,auto,linear,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.4869666041033994,0.5517797089013142,0.5273374524283401,0.48963449563516603,0.4600143043858812,0.5031465130908201,0.03241956439899511,7
0.06099519729614258,0.004700971854973955,0.032189559936523435,0.0024918764848152137,100,scale,rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",-0.2033875936396019,-0.04002747834067466,-0.1612847234289725,-0.20361118606223938,-0.20649471228726757,-0.1629611387517512,0.06371403590468415,26
0.07601213455200195,0.0130777959609073,0.01985592842102051,0.009789140300766924,100,scale,sigmoid,"{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}",-0.10389939573849372,-0.06721035122741847,-0.10758230239168887,-0.15452482172279147,-0.1842360009319437,-0.12349057440246725,0.04112780633934423,23
0.1717132568359375,0.029207318949312108,0.007267427444458008,0.0007481419620638556,100,scale,linear,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.4869666041033994,0.5517797089013142,0.5273374524283401,0.48963449563516603,0.4600143043858812,0.5031465130908201,0.03241956439899511,7
0.10589299201965333,0.012642368682565082,0.03367042541503906,0.005221564783413142,1000,auto,rbf,"{'C': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",-0.10116912229961272,0.030068767691118214,-0.10595540632369471,-0.13180863718208524,-0.1564056969290415,-0.0930540190086632,0.06466355515418278,13
0.04691371917724609,0.004927559116131372,0.011181163787841796,0.0040885635938588604,1000,auto,sigmoid,"{'C': 1000, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.08552173810157737,-0.03776120476275291,-0.08581862421383746,-0.13729319414710028,-0.16892453266800755,-0.10306385877865512,0.04556058932781816,17
0.720552635192871,0.12028143972691195,0.008217954635620117,0.0008733258636592657,1000,auto,linear,"{'C': 1000, 'gamma': 'auto', 'kernel': 'linear'}",0.5907967725853722,0.6668050199681733,0.6368169260399985,0.6076904974235221,0.5716471445008535,0.6147512721035839,0.033699033081187726,5
0.06918916702270508,0.004887043112967744,0.03379745483398437,0.0024073415543644154,1000,scale,rbf,"{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",-0.2079040167363011,-0.04047807512792967,-0.15843637916519016,-0.20637118762674667,-0.20568274178507284,-0.16377448008824808,0.06441847047849765,27
0.06713986396789551,0.0017395518386217053,0.013036727905273438,0.0010565831198507197,1000,scale,sigmoid,"{'C': 1000, 'gamma': 'scale', 'kernel': 'sigmoid'}",-1.2877755863225473,-1.7150606628018648,-1.4916160224736759,-1.516807185842656,-1.4887931129144478,-1.5000105140710382,0.13547594383214115,28
0.698583459854126,0.060680477359510376,0.007214641571044922,0.0005075147159652301,1000,scale,linear,"{'C': 1000, 'gamma': 'scale', 'kernel': 'linear'}",0.5907967725853722,0.6668050199681733,0.6368169260399985,0.6076904974235221,0.5716471445008535,0.6147512721035839,0.033699033081187726,5
0.14248452186584473,0.014717528785269282,0.03669948577880859,0.006019699960475056,2000,auto,rbf,"{'C': 2000, 'gamma': 'auto', 'kernel': 'rbf'}",-0.07377395685743715,0.0730182788414736,-0.06755450754839565,-0.10161103341758082,-0.12235555912676044,-0.05845535562174009,0.06862713632750653,12
0.044025325775146486,0.0032455117762771653,0.009019994735717773,0.0006326388652157483,2000,auto,sigmoid,"{'C': 2000, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.08552173810157737,-0.03776120476275291,-0.08581862421383746,-0.13729319414710028,-0.16892453266800755,-0.10306385877865512,0.04556058932781816,17
1.2096006870269775,0.22272707685210924,0.00841522216796875,0.0023193686364952623,2000,auto,linear,"{'C': 2000, 'gamma': 'auto', 'kernel': 'linear'}",0.5965402179942381,0.6816242268103809,0.7046341968800207,0.6967665132057881,0.6561193834124482,0.6671369076605752,0.03898492291161587,1
0.08289332389831543,0.018048642292571127,0.03538045883178711,0.006415577527499307,2000,scale,rbf,"{'C': 2000, 'gamma': 'scale', 'kernel': 'rbf'}",-0.20155984074790356,-0.030706890442296908,-0.1489582142357453,-0.19646079576971798,-0.19809109407471537,-0.15515536705407582,0.06515952472052149,25
0.06376914978027344,0.0032488821985212995,0.013939476013183594,0.0008587240503391491,2000,scale,sigmoid,"{'C': 2000, 'gamma': 'scale', 'kernel': 'sigmoid'}",-4.599520548854052,-6.17290319666225,-5.387865385636997,-5.153638768348933,-4.947983716414008,-5.252382323183248,0.5280817430146642,29
1.2967160224914551,0.18779765403841525,0.007311630249023438,0.0008728609928448109,2000,scale,linear,"{'C': 2000, 'gamma': 'scale', 'kernel': 'linear'}",0.5965402179942381,0.6816242268103809,0.7046341968800207,0.6967665132057881,0.6561193834124482,0.6671369076605752,0.03898492291161587,1
0.20428009033203126,0.025872873056933286,0.03700742721557617,0.004598625735683433,3000,auto,rbf,"{'C': 3000, 'gamma': 'auto', 'kernel': 'rbf'}",-0.03838227897967372,0.1100786186092606,-0.027502037307018945,-0.06836047771640019,-0.08505686153503578,-0.021844607385773606,0.06909233520332764,9
0.05996513366699219,0.024069516648962216,0.010728120803833008,0.0048663757600710105,3000,auto,sigmoid,"{'C': 3000, 'gamma': 'auto', 'kernel': 'sigmoid'}",-0.08552173810157737,-0.03776120476275291,-0.08581862421383746,-0.13729319414710028,-0.16892453266800755,-0.10306385877865512,0.04556058932781816,17
1.6681037902832032,0.3392144514926812,0.005917406082153321,0.0013205700783185585,3000,auto,linear,"{'C': 3000, 'gamma': 'auto', 'kernel': 'linear'}",0.5976593585250995,0.635433815173637,0.6937268067547053,0.6898618905641138,0.6075937753181753,0.6448551292671463,0.040295557710956414,3
0.07427897453308105,0.008267883295775217,0.030768537521362306,0.002367327865634414,3000,scale,rbf,"{'C': 3000, 'gamma': 'scale', 'kernel': 'rbf'}",-0.1911477942452442,-0.020928293817732202,-0.13663639151323603,-0.18500994384694947,-0.18839215206550275,-0.14442291509773292,0.06492359581568151,24
0.07017607688903808,0.011893143217472485,0.013335752487182616,0.0008215029720317375,3000,scale,sigmoid,"{'C': 3000, 'gamma': 'scale', 'kernel': 'sigmoid'}",-9.945051465110438,-13.381084765871423,-11.800786854107027,-11.3608899167791,-10.724877970149867,-11.442538194403571,1.1532973645207942,30
1.4117292404174804,0.28907406328673074,0.004509162902832031,0.001142117703602896,3000,scale,linear,"{'C': 3000, 'gamma': 'scale', 'kernel': 'linear'}",0.5976593585250995,0.635433815173637,0.6937268067547053,0.6898618905641138,0.6075937753181753,0.6448551292671463,0.040295557710956414,3
